Inference for Bugs model at "ORL.txt", fit using jags,
 3 chains, each with 5000 iterations (first 1000 discarded)
 n.sims = 12000 iterations saved. Running time = secs
         mu.vect sd.vect    2.5%     25%     50%     75%   97.5%  Rhat n.eff
p[77,2]    0.401   0.069   0.253   0.357   0.407   0.449   0.520 1.002  2300
p[78,2]    0.184   0.052   0.089   0.147   0.182   0.219   0.294 1.002  2100
p[79,2]    0.311   0.056   0.194   0.275   0.314   0.350   0.413 1.001  6800
p[80,2]    0.178   0.052   0.086   0.142   0.175   0.211   0.288 1.002  2900
p[81,2]    0.325   0.058   0.195   0.291   0.333   0.366   0.421 1.001  3300
p[82,2]    0.087   0.041   0.026   0.057   0.080   0.111   0.184 1.001 10000
p[83,2]    0.159   0.064   0.053   0.111   0.153   0.202   0.299 1.001  9000
p[84,2]    0.204   0.075   0.072   0.148   0.199   0.255   0.360 1.001  6700
p[85,2]    0.226   0.079   0.086   0.168   0.221   0.280   0.389 1.001  7300
p[86,2]    0.111   0.042   0.045   0.080   0.105   0.136   0.207 1.001  7800
p[87,2]    0.197   0.052   0.101   0.158   0.195   0.234   0.300 1.001 12000
p[88,2]    0.121   0.042   0.052   0.091   0.117   0.147   0.213 1.001  6000
p[89,2]    0.224   0.055   0.121   0.184   0.223   0.262   0.330 1.001 12000
p[90,2]    0.260   0.059   0.147   0.218   0.260   0.301   0.371 1.001 12000
p[91,2]    0.303   0.062   0.177   0.260   0.306   0.348   0.416 1.001  6700
p[92,2]    0.331   0.083   0.177   0.271   0.329   0.388   0.494 1.002  2600
p[93,2]    0.149   0.049   0.064   0.114   0.146   0.181   0.256 1.002  2300
p[94,2]    0.269   0.057   0.152   0.230   0.272   0.309   0.375 1.001  5700
p[95,2]    0.337   0.068   0.193   0.293   0.342   0.385   0.458 1.001  3600
p[96,2]    0.343   0.066   0.202   0.300   0.349   0.389   0.459 1.001  3600
p[97,2]    0.355   0.078   0.194   0.301   0.358   0.412   0.494 1.002  2000
p[98,2]    0.339   0.076   0.183   0.287   0.344   0.397   0.469 1.002  1800
p[99,2]    0.345   0.068   0.202   0.301   0.351   0.395   0.462 1.002  2500
p[100,2]   0.369   0.077   0.210   0.319   0.373   0.421   0.510 1.002  2200
p[1,3]     0.250   0.000   0.250   0.250   0.250   0.250   0.250 1.000     1
p[2,3]     0.269   0.042   0.191   0.249   0.264   0.287   0.365 1.002  5300
p[3,3]     0.311   0.037   0.246   0.287   0.307   0.332   0.393 1.001  5100
p[4,3]     0.335   0.037   0.270   0.309   0.332   0.358   0.417 1.001  6600
p[5,3]     0.338   0.032   0.279   0.317   0.337   0.359   0.402 1.001  4300
p[6,3]     0.346   0.038   0.283   0.320   0.343   0.369   0.429 1.001  6900
p[7,3]     0.133   0.033   0.075   0.110   0.130   0.154   0.204 1.002  1700
p[8,3]     0.246   0.032   0.172   0.228   0.249   0.267   0.300 1.003  1400
p[9,3]     0.296   0.035   0.216   0.276   0.298   0.319   0.358 1.003  1800
p[10,3]    0.134   0.032   0.080   0.112   0.132   0.154   0.203 1.002  2500
p[11,3]    0.254   0.029   0.201   0.233   0.252   0.273   0.312 1.001  4600
p[12,3]    0.324   0.038   0.257   0.298   0.322   0.349   0.406 1.001 12000
p[13,3]    0.320   0.032   0.262   0.298   0.318   0.340   0.386 1.001 12000
p[14,3]    0.316   0.030   0.261   0.295   0.314   0.335   0.377 1.001 12000
p[15,3]    0.294   0.025   0.245   0.277   0.293   0.310   0.345 1.001 12000
p[16,3]    0.285   0.024   0.236   0.270   0.286   0.300   0.331 1.001 12000
p[17,3]    0.329   0.040   0.258   0.303   0.327   0.353   0.414 1.001 12000
p[18,3]    0.310   0.039   0.237   0.285   0.309   0.334   0.392 1.001 12000
p[19,3]    0.112   0.030   0.061   0.090   0.109   0.130   0.176 1.002  2800
p[20,3]    0.203   0.030   0.141   0.182   0.203   0.224   0.258 1.003   960
p[21,3]    0.318   0.032   0.248   0.299   0.319   0.339   0.376 1.001  6600
p[22,3]    0.154   0.038   0.089   0.126   0.150   0.178   0.238 1.001  4400
p[23,3]    0.257   0.031   0.190   0.237   0.259   0.278   0.311 1.001  6000
p[24,3]    0.338   0.045   0.252   0.308   0.336   0.367   0.429 1.001 12000
p[25,3]    0.337   0.045   0.255   0.306   0.334   0.365   0.432 1.001 12000
p[26,3]    0.331   0.048   0.246   0.297   0.328   0.361   0.433 1.001  7200
p[27,3]    0.326   0.041   0.251   0.298   0.324   0.351   0.413 1.001  7700
p[28,3]    0.135   0.034   0.077   0.110   0.132   0.156   0.210 1.001  3800
p[29,3]    0.235   0.032   0.173   0.212   0.236   0.259   0.296 1.002  1900
p[30,3]    0.127   0.034   0.070   0.103   0.125   0.149   0.202 1.002  2700
p[31,3]    0.229   0.037   0.156   0.203   0.230   0.256   0.295 1.002  1500
p[32,3]    0.277   0.030   0.213   0.256   0.279   0.298   0.331 1.003  1200
p[33,3]    0.298   0.033   0.235   0.275   0.298   0.321   0.361 1.002  1900
p[34,3]    0.331   0.053   0.238   0.294   0.328   0.365   0.444 1.002  2100
p[35,3]    0.323   0.047   0.244   0.289   0.320   0.352   0.424 1.002  3100
p[36,3]    0.315   0.047   0.233   0.280   0.312   0.345   0.412 1.002  2600
p[37,3]    0.314   0.044   0.238   0.283   0.311   0.342   0.407 1.001  4300
p[38,3]    0.114   0.036   0.054   0.088   0.111   0.137   0.193 1.002  1400
p[39,3]    0.208   0.049   0.112   0.174   0.211   0.245   0.295 1.003   860
p[40,3]    0.258   0.044   0.171   0.227   0.261   0.291   0.338 1.003   840
p[41,3]    0.254   0.041   0.173   0.225   0.256   0.284   0.329 1.003   870
p[42,3]    0.111   0.032   0.059   0.087   0.107   0.130   0.184 1.002  2600
p[43,3]    0.219   0.035   0.162   0.192   0.216   0.244   0.291 1.002  1400
p[44,3]    0.275   0.036   0.211   0.248   0.273   0.299   0.349 1.002  1600
p[45,3]    0.289   0.045   0.217   0.256   0.284   0.318   0.385 1.002  2100
p[46,3]    0.297   0.040   0.227   0.268   0.294   0.323   0.382 1.002  3200
p[47,3]    0.285   0.042   0.213   0.255   0.282   0.313   0.375 1.002  3200
p[48,3]    0.267   0.039   0.199   0.240   0.264   0.293   0.351 1.001  3200
p[49,3]    0.324   0.040   0.248   0.296   0.323   0.351   0.406 1.001  4900
p[50,3]    0.126   0.038   0.063   0.099   0.122   0.150   0.210 1.002  1900
p[51,3]    0.244   0.042   0.157   0.216   0.246   0.274   0.323 1.003  1600
p[52,3]    0.303   0.055   0.191   0.266   0.305   0.341   0.411 1.002  1700
p[53,3]    0.296   0.053   0.189   0.260   0.297   0.332   0.398 1.002  1600
p[54,3]    0.286   0.048   0.191   0.253   0.287   0.319   0.376 1.003  1200
p[55,3]    0.112   0.036   0.054   0.085   0.107   0.134   0.193 1.002  1600
p[56,3]    0.217   0.044   0.134   0.186   0.218   0.249   0.303 1.003  1100
p[57,3]    0.242   0.044   0.162   0.211   0.242   0.274   0.328 1.003   870
p[58,3]    0.262   0.049   0.172   0.226   0.262   0.296   0.359 1.003  1100
p[59,3]    0.277   0.063   0.167   0.230   0.274   0.319   0.406 1.002  1300
p[60,3]    0.113   0.034   0.058   0.088   0.109   0.134   0.192 1.002  2900
p[61,3]    0.201   0.034   0.148   0.176   0.195   0.223   0.276 1.002  1200
p[62,3]    0.246   0.045   0.183   0.209   0.239   0.277   0.348 1.003  1100
p[63,3]    0.246   0.045   0.184   0.209   0.239   0.276   0.349 1.003  1200
p[64,3]    0.258   0.039   0.197   0.228   0.252   0.283   0.346 1.002  1600
p[65,3]    0.286   0.048   0.209   0.251   0.281   0.316   0.391 1.001  3700
p[66,3]    0.288   0.055   0.205   0.246   0.280   0.323   0.413 1.002  2700
p[67,3]    0.288   0.047   0.210   0.255   0.283   0.315   0.394 1.001  7700
p[68,3]    0.112   0.032   0.061   0.090   0.108   0.131   0.185 1.001  4300
p[69,3]    0.208   0.034   0.154   0.185   0.201   0.227   0.287 1.002  1900
p[70,3]    0.098   0.033   0.049   0.074   0.093   0.117   0.177 1.002  1700
p[71,3]    0.189   0.043   0.121   0.157   0.184   0.217   0.283 1.003  1100
p[72,3]    0.249   0.057   0.163   0.205   0.241   0.285   0.378 1.003  1000
