"gain" "loss" "deck" "trial" "subjID"
50 -50 3 99 142
100 0 2 100 142
50 0 3 1 144
50 0 4 2 144
100 0 2 3 144
50 -50 3 4 144
100 -250 1 5 144
50 0 3 6 144
50 0 4 7 144
100 0 2 8 144
50 -50 3 9 144
100 0 2 10 144
50 -250 4 11 144
100 -250 1 12 144
50 -50 3 13 144
100 0 2 14 144
100 0 2 15 144
100 0 2 16 144
100 -1250 2 17 144
50 0 4 18 144
50 0 3 19 144
50 0 4 20 144
100 0 2 21 144
100 0 2 22 144
100 0 2 23 144
50 0 3 24 144
50 0 4 25 144
100 0 2 26 144
100 0 2 27 144
100 0 2 28 144
50 0 3 29 144
50 0 4 30 144
100 0 2 31 144
100 -1250 2 32 144
50 -50 3 33 144
50 0 4 34 144
50 0 3 35 144
100 0 2 36 144
50 0 4 37 144
100 0 2 38 144
50 -50 3 39 144
100 0 1 40 144
100 0 1 41 144
100 0 2 42 144
100 0 1 43 144
100 0 2 44 144
50 -50 3 45 144
50 0 4 46 144
100 -250 1 47 144
100 0 2 48 144
50 -250 4 49 144
50 0 3 50 144
100 0 2 51 144
100 0 1 52 144
50 0 3 53 144
100 0 2 54 144
100 0 1 55 144
50 -50 3 56 144
100 0 2 57 144
100 -250 1 58 144
50 0 4 59 144
100 -1250 2 60 144
50 0 3 61 144
50 0 4 62 144
100 0 1 63 144
100 0 2 64 144
100 0 1 65 144
50 0 4 66 144
100 0 2 67 144
100 0 1 68 144
50 0 4 69 144
100 0 2 70 144
100 -250 1 71 144
50 0 4 72 144
100 0 2 73 144
50 0 4 74 144
100 0 2 75 144
50 0 4 76 144
100 0 2 77 144
50 0 4 78 144
100 0 2 79 144
50 0 4 80 144
100 0 2 81 144
100 0 1 82 144
50 0 4 83 144
100 0 2 84 144
50 0 4 85 144
100 0 2 86 144
50 -250 4 87 144
100 0 2 88 144
50 -50 3 89 144
100 0 2 90 144
50 0 4 91 144
100 -1250 2 92 144
100 -250 1 93 144
50 0 4 94 144
100 0 2 95 144
50 0 3 96 144
100 0 2 97 144
50 0 4 98 144
100 0 2 99 144
100 -250 1 100 144
100 0 2 1 145
100 -250 1 2 145
50 0 4 3 145
100 0 2 4 145
100 0 2 5 145
100 0 2 6 145
100 0 2 7 145
100 0 2 8 145
100 -1250 2 9 145
50 0 4 10 145
100 0 2 11 145
100 0 2 12 145
100 0 2 13 145
100 0 2 14 145
100 0 2 15 145
100 0 2 16 145
50 -250 4 17 145
100 0 2 18 145
100 -1250 2 19 145
50 0 4 20 145
50 0 3 21 145
100 -250 1 22 145
50 -50 3 23 145
100 0 2 24 145
100 0 2 25 145
100 0 2 26 145
100 0 2 27 145
100 0 2 28 145
100 0 2 29 145
100 0 2 30 145
100 0 2 31 145
100 -1250 2 32 145
100 0 2 33 145
100 0 2 34 145
100 0 2 35 145
100 0 2 36 145
100 0 2 37 145
